group,label,scene,model,root_sift,delta_azimuth_deg,delta_elevation_deg,sun_elevation_src,ambiguity,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,reported_inlier_ratio,reported_fit_rmse,true_putative_precision,true_inlier_precision,true_inlier_recall,true_error_median,true_error_p90,transform_error_median,transform_error_p90,transform_error_max,confidence_gap,coverage_max_gap_ratio,coverage_occupancy,coverage_entropy,failure_mode,gen_s,detect_s,match_s,ransac_s,pipeline_s
E_ambiguity,ambiguity=0.0,repetitive,affine,True,0.0,0.0,35.0,0.0,1.0,713,729,570,567,0.9947368421052631,0.12723582185854815,0.9947368421052631,1.0,1.0,0.059436705947715426,0.18732537561265036,0.008666774295724659,0.01705429668220592,0.020656864075621766,-0.0052631578947368585,0.06397788810218437,1.0,0.9844432596337319,none,4.9902749001048505,0.08069189998786896,0.007008400047197938,0.09944819996599108,0.18714850000105798
E_ambiguity,ambiguity=0.4,repetitive,affine,True,0.0,0.0,35.0,0.4,1.0,332,346,250,248,0.992,0.13341583810860994,0.992,1.0,1.0,0.04941648700918527,0.18326182527939092,0.009188554538577346,0.01792697372337193,0.024613948877023534,-0.008000000000000007,0.07520165354757209,1.0,0.9771970369501722,none,4.9982272000052035,0.07309399999212474,0.0026596999960020185,0.08371110004372895,0.1594648000318557
E_ambiguity,ambiguity=0.7,repetitive,affine,True,0.0,0.0,35.0,0.7,1.0,149,158,104,100,0.9615384615384616,0.0946473445811503,0.9615384615384616,1.0,1.0,0.021750462164727733,0.06635181728322023,0.015578714928409215,0.02682189791593283,0.03468940554816021,-0.038461538461538436,0.13747003402162322,0.8928571428571429,0.9575475649706782,none,4.981216199928895,0.06910009996499866,0.001116100000217557,0.07241929997690022,0.14263549994211644
E_ambiguity,ambiguity=0.9,repetitive,affine,True,0.0,0.0,35.0,0.9,1.0,176,179,122,112,0.9180327868852459,0.03858558177435015,0.9180327868852459,1.0,1.0,0.018614002836236345,0.04632478186371501,0.006280612337854924,0.014415490403822437,0.021728544930177535,-0.08196721311475408,0.13364999044627374,0.8214285714285714,0.940642504256363,none,4.971302999998443,0.06921220000367612,0.0009794000070542097,0.07103150000330061,0.14122310001403093
E_ambiguity,ambiguity=1.0,repetitive,affine,True,0.0,0.0,35.0,1.0,1.0,190,190,40,7,0.175,0.027665648397706407,0.05,0.0,0.0,64.01528932437438,64.03254283298294,64.00812937712567,64.01233523840673,64.01486132480034,0.175,0.37937159327779507,0.07142857142857142,0.33094724202019393,no_model_found,5.046461399993859,0.0690544000826776,0.0009198000188916922,0.45156720001250505,0.5215414001140743
F_low_sun,elevation=10.0,highlands,affine,True,45.0,0.0,10.0,0.0,1.0,1754,1757,49,6,0.12244897959183673,9.35472980649455e-14,0.04081632653061224,0.0,0.0,213.6621455291214,363.77544930633945,848.2439516042347,1550.2037759128518,1944.139444712858,0.12244897959183673,0.6092278718620115,0.046875,0.26416041678685936,no_model_found,4.945009200018831,0.09650879993569106,0.03305800002999604,1.7136773999081925,1.8432441998738796
F_low_sun,elevation=20.0,highlands,affine,True,45.0,0.0,20.0,0.0,1.0,2423,2530,46,4,0.08695652173913043,1.9742350317315248e-13,0.0,0.0,0.0,184.12865590719048,294.6665437977164,355.4902284815688,635.8861046145396,891.114484087004,0.08695652173913043,0.523441143877242,0.046875,0.25,no_model_found,4.930063799954951,0.11165779992006719,0.06621030007954687,3.8225858999649063,4.00045399996452
F_low_sun,elevation=35.0,highlands,affine,True,45.0,0.0,35.0,0.0,1.0,2735,2720,26,3,0.11538461538461539,1.659285912877995e-13,0.038461538461538464,0.3333333333333333,1.0,149.18657850344033,246.67910850778708,192.84369568921113,446.50113454092246,600.4986993311023,-0.21794871794871792,0.46834495846765584,0.046875,0.26416041678685936,no_model_found,4.924678599927574,0.11535620002541691,0.07952449994627386,1.5420875999843702,1.736968299956061
F_low_sun,elevation=60.0,highlands,affine,True,45.0,0.0,60.0,0.0,1.0,3606,3631,27,8,0.2962962962962963,0.587851515507355,0.2962962962962963,1.0,1.0,0.48794788552384627,1.0551585395559133,0.29093841636001716,0.4785489287980645,0.6911249690430429,-0.7037037037037037,0.39223301839933905,0.125,0.5,poor_spatial_coverage,4.975973399938084,0.13051849999465048,0.1405993999214843,0.10240890004206449,0.37352679995819926
G_rootsift,root_sift=True/d_az=0,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2890,2856,2027,2023,0.9980266403552047,0.6158559792272245,0.9970399605328071,0.9990113692535838,1.0,0.21011381195864043,0.6616668046447794,0.35897706894387194,0.5559886326121256,0.6749583156985446,-0.0009847288983790836,0.047037478823407405,1.0,0.9899381566029432,none,4.976352000026964,0.11552009999286383,0.09349390002898872,0.1840022000251338,0.39301620004698634
G_rootsift,root_sift=True/d_az=45,highlands,affine,True,45.0,0.0,45.0,0.0,1.0,2890,2864,28,4,0.14285714285714285,5.684341886080802e-14,0.03571428571428571,0.0,0.0,194.7280046476083,262.2666775424579,325.5913531546458,677.0017385928815,974.3911662072315,0.14285714285714285,0.446040044381002,0.046875,0.25,no_model_found,4.941512699937448,0.11761359998490661,0.08921240002382547,0.9438433999894187,1.1506693999981508
G_rootsift,root_sift=True/d_az=90,highlands,affine,True,90.0,0.0,45.0,0.0,1.0,2890,2797,17,3,0.17647058823529413,2.45591638698589e-13,0.0,0.0,0.0,226.23000363505264,310.4418483879094,1000.178732582812,1935.273448059851,2746.8973804127663,0.17647058823529413,0.5663473164383442,0.046875,0.26416041678685936,no_model_found,4.976218799944036,0.11641759995836765,0.08720399998128414,0.43243509996682405,0.6360566999064758
G_rootsift,root_sift=False/d_az=0,highlands,affine,False,0.0,0.0,45.0,0.0,1.0,2890,2856,2031,2024,0.9965534219596258,0.5243745517770767,0.9960610536681438,0.9995059288537549,1.0,0.21126184303012274,0.6709796103501202,0.22321797134687305,0.48654484041485235,0.699875246373493,-0.00295250689412907,0.047037478823407405,1.0,0.9903381677364124,none,4.974748600041494,0.11219390004407614,0.0869386000558734,0.1793533000163734,0.37848580011632293
G_rootsift,root_sift=False/d_az=45,highlands,affine,False,45.0,0.0,45.0,0.0,1.0,2890,2864,41,5,0.12195121951219512,0.30692210313660345,0.0,0.0,0.0,174.56614523708836,194.7280046476083,318.2485979875025,617.2318049558821,820.974407468572,0.12195121951219512,0.446040044381002,0.0625,0.3203213491478938,no_model_found,4.915692200069316,0.11609620007220656,0.08812899992335588,1.5170214000390843,1.7212466000346467
G_rootsift,root_sift=False/d_az=90,highlands,affine,False,90.0,0.0,45.0,0.0,1.0,2890,2797,34,4,0.11764705882352941,0.8070862479518116,0.0,0.0,0.0,330.9368712613118,335.1284236693903,410.33368891996736,863.997815325591,1280.7907767108054,0.11764705882352941,0.49866498103001383,0.0625,0.33333333333333337,no_model_found,4.990312600042671,0.11479669995605946,0.08508400002028793,1.4709084999049082,1.6707891998812556
