kind,seed,n_points,held_out_median,held_out_p90,held_out_ok,split_consistency,true_transform_error,is_wrong,part,split
lattice_shift,7311,300,0.4419877172192178,0.8954046094017125,True,0.1859557155470431,64.0,True,A,validation
repeated_texture,7240,198,0.45779021841312184,0.8439601231878838,True,0.2644174841650703,64.0,True,A,validation
coherent_affine,7300,300,0.49262967992647777,0.8646367735238071,True,0.15709941877275835,52.70999014376441,True,A,validation
partial_overlap,7252,300,0.46365183570395124,0.839610581378904,True,0.4275725147726642,21.142121256222413,True,A,validation
low_inlier_degenerate,7307,4,inf,inf,False,inf,208.6410653111982,True,A,validation
correct,7282,300,0.48874393608090927,0.8689346236977653,True,0.1429087336545076,0.0,False,A,validation
correct_noisy,7313,300,1.4224680558616376,2.536003020019121,True,0.23195780572248131,0.0,False,A,validation
clustered_correct,7325,300,0.4742778435861987,0.8575980393287767,True,0.2742075317156636,0.0,False,A,validation
lattice_shift,7334,300,0.45874501594260414,0.7988058084054779,True,0.2177806898185778,64.0,True,A,validation
repeated_texture,7263,204,0.4662120869984486,0.8906006833931104,True,0.1852492633879645,64.0,True,A,validation
coherent_affine,7323,300,0.45237103200269385,0.8258016430844166,True,0.15348383501485324,52.70999014376441,True,A,validation
partial_overlap,7275,300,0.5058320730782557,0.8591675160770539,True,0.6141958733038648,21.142121256222413,True,A,validation
low_inlier_degenerate,7330,4,inf,inf,False,inf,311.27993940043854,True,A,validation
