label,regime,seed,transform_kind,fit_model,scale,delta_azimuth,delta_elevation,sun_elevation,ambiguity,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,inlier_ratio,fit_rmse,held_out_median,held_out_p90,held_out_ok,split_consistency,coverage_max_gap,coverage_occupancy,coverage_entropy,true_inlier_precision,true_putative_precision,transform_error_median,transform_error_p90,is_wrong,gen_s,pipeline_s,ransac_s,split
similarity/d_az=20,A_highlands_moderate,7003,similarity,similarity,1.0,20.0,0.0,45.0,0.0,1.0,1458,1262,392,389,0.9923469387755102,0.9170632289593339,0.5398449921443302,1.5681309352780326,True,0.17134404531008074,0.08369874312493854,0.85,0.9257948249968264,1.0,0.9923469387755102,0.10218387013025451,0.12203609094608976,False,0.283226800034754,0.1640618999954313,0.03956659999676049,validation
affine/d_az=20,A_highlands_moderate,7003,affine,affine,1.0,20.0,0.0,45.0,0.0,1.0,1458,1255,421,416,0.9881235154394299,0.9084116870772555,0.5733533997583615,1.547696278664605,True,0.13413631490078498,0.08369874312493854,0.864406779661017,0.9326096578711338,1.0,0.9881235154394299,0.07384820659624491,0.1698023561795357,False,0.2791868000058457,0.17649880005046725,0.050886600045487285,validation
projective/d_az=20,A_highlands_moderate,7003,projective,projective,1.0,20.0,0.0,45.0,0.0,1.0,1458,1258,387,381,0.9844961240310077,0.928423532754048,0.5622705708942409,1.567449847094138,True,0.35152841149616254,0.0848854479844095,0.85,0.9218146662815103,1.0,0.9844961240310077,0.14645511099640104,0.1850420906990426,False,0.297928599989973,0.1670429998775944,0.04425799997989088,validation
similarity/d_az=40,A_highlands_moderate,7003,similarity,similarity,1.0,40.0,0.0,45.0,0.0,1.0,1458,1176,8,2,0.25,1.0634429903501376e-13,inf,inf,False,inf,0.6619707660757301,0.03278688524590164,0.1686130986895011,0.0,0.0,306.10531165857583,478.4424308477405,True,0.28496780002024025,0.16420860006473958,0.039900500094518065,validation
affine/d_az=40,A_highlands_moderate,7003,affine,affine,1.0,40.0,0.0,45.0,0.0,1.0,1458,1159,5,3,0.6,1.8564982859236946e-13,inf,inf,False,inf,0.6980551207504339,0.04918032786885246,0.2672454385532547,0.0,0.0,8614.96843458874,16810.100378153445,True,0.2889646999537945,0.17214529996272177,0.04942809999920428,validation
projective/d_az=40,A_highlands_moderate,7003,projective,projective,1.0,40.0,0.0,45.0,0.0,1.0,1458,1166,4,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.2806440000422299,0.16168729995843023,0.041091699968092144,validation
similarity/d_az=60,A_highlands_moderate,7003,similarity,similarity,1.0,60.0,0.0,45.0,0.0,1.0,1458,1702,6,2,0.3333333333333333,4.922784477141924e-14,inf,inf,False,inf,0.5340034090172215,0.03125,0.16666666666666669,0.0,0.0,215.52864460028343,314.1903956968488,True,0.27821949997451156,0.1793315999675542,0.034314399934373796,validation
affine/d_az=60,A_highlands_moderate,7003,affine,affine,1.0,60.0,0.0,45.0,0.0,1.0,1458,1633,5,3,0.6,7.435052550679085e-13,inf,inf,False,inf,0.5199210760752273,0.046875,0.26416041678685936,0.0,0.0,2385.571784454327,4840.490952634131,True,0.27340589999221265,0.18707219988573343,0.04661949991714209,validation
projective/d_az=60,A_highlands_moderate,7003,projective,projective,1.0,60.0,0.0,45.0,0.0,1.0,1458,1667,5,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.27579169999808073,0.2443104999838397,0.1049811999546364,validation
similarity/d_az=0,A_highlands_moderate,7004,similarity,similarity,1.0,0.0,0.0,45.0,0.0,1.0,1533,1551,1168,1168,1.0,0.23102822389926417,0.11606604126369728,0.35140022588542347,True,0.011663774169908247,0.047521582267954846,1.0,0.9913796873855127,1.0,1.0,0.027854448416244917,0.03432345665736203,False,1.4003518000245094,0.22889010002836585,0.04331350000575185,validation
affine/d_az=0,A_highlands_moderate,7004,affine,affine,1.0,0.0,0.0,45.0,0.0,1.0,1533,1525,1167,1166,0.9991431019708654,0.2045850567138764,0.09994932354088329,0.2909653611038756,True,0.036745087587553904,0.04787702164283916,1.0,0.990859413229419,1.0,0.9991431019708654,0.026277732528405512,0.041996993484567965,False,0.368447000044398,0.20242509990930557,0.058359700022265315,validation
projective/d_az=0,A_highlands_moderate,7004,projective,projective,1.0,0.0,0.0,45.0,0.0,1.0,1533,1552,1181,1180,0.9991532599491956,0.23735322050133223,0.11815971364346742,0.3355624686297366,True,0.06322777434672183,0.05066426161027011,1.0,0.9898333581203712,1.0,0.9991532599491956,0.030041408981629183,0.04270460913165188,False,0.3677527999971062,0.1935185001930222,0.052905900054611266,validation
